year,title,citations
00,Translation with Cascaded Finite State Transducers,7
00,Phrase-Pattern-based Korean to English Machine Translation using Two Level Translation Pattern Selection,0
00,A Maximum Entropy/Minimum Divergence Translation Model,27
00,Incorporating Compositional Evidence in Memory-Based Partial Parsing,3
00,Tree-gram Parsing: Lexical Dependencies and Structural Relations,7
00,An Improved Parser for Data-Oriented Lexical-Functional Analysis,7
00,Robust Temporal Processing of News,161
00,Tagging Unknown Proper Names Using Decision Trees,25
00,The Order of Prenominal Adjectives in Natural Language Generation,37
00,Spoken Dialogue Management Using Probabilistic Reasoning,103
00,An Unsupervised Approach to Prepositional Phrase Attachment using Contextually Similar Words,46
00,A Unified Statistical Model for the Identification of English BaseNP,24
00,Rule Writing or Annotation: Cost-efficient Resource Usage for Base Noun Phrase Chunking,45
00,Using Existing Systems to Supplement Small Amounts of Annotated Grammatical Relations Training Data,5
00,Distributing Representation for Robust Interpretation of Dialogue Utterances,20
00,Can Nominal Expressions Achieve Multiple Goals?: An Empirical Study,4
00,An Empirical Study of the Influence of Argument Conciseness on Argument Effectiveness,22
00,Multi-Agent Explanation Strategies in Real-Time Domains,5
00,A Computational Approach to Zero-pronouns in Spanish,13
00,Coreference for NLP Applications,49
00,Learning Attribute Selections for Non-Pronominal Expressions,18
00,Finite-State Non-Concatenative Morphotactics,27
00,A Morphologically Sensitive Clustering Algorithm for Identifying Arabic Roots,21
00,Minimally Supervised Morphological Analysis by Multimodal Alignment,81
00,A Constraint-based Approach to English Prosodic Constituents,1
00,Inducing Probabilistic Syllable Classes Using Multivariate Clustering,3
00,Modeling Local Context for Pitch Accent Prediction,13
00,A New Statistical Approach To Chinese Pinyin Input,16
00,Automatic Detecting/Correcting Errors in Chinese Text by an Approximate Word-Matching Algorithm,3
00,Dependency-based Syntactic Analysis of Chinese and Annotation of Parsed Corpus,7
00,Part-of-Speech Tagging Based on Hidden Markov Model Assuming Joint Independence,5
00,"Language Independent, Minimally Supervised Induction of Lexical Probabilities",21
00,Independence and Commitment: Assumptions for Rapid Training and Execution of Rule-based POS Taggers,45
00,An Improved Error Model for Noisy Channel Spelling Correction,88
00,Query-Relevant Summarization using FAQs,48
00,An Algorithm for One-page Summarization of a Long Text Based on Thematic Hierarchy Detection,15
00,Summarizing Multilingual Spoken Negotiation Dialogues,21
00,Headline Generation Based on Statistical Translation,58
00,Named Entity Extraction Based on A Maximum Entropy Model and Transformation Rules,36
00,Extracting Causal Knowledge from a Medical Database Using Graphical Patterns,29
00,Difficulty Indices for the Named Entity Task in Japanese,1
00,Memory-Efficient and Thread-Safe Quasi-Destructive Graph Unification,2
00,Processing Optimality-theoretic Syntax by Interleaved Chart Parsing and Generation,7
00,A Polynomial-Time Fragment of Dominance Constraints,31
00,"Hidden Markov Model-Based Korean Part-of-Speech Tagging Considering High Agglutinativity, Word-Spacing, and Lexical Correlativity",4
00,Synchronous Morphological Analysis of Grapheme and Phoneme for Japanese OCR,1
00,Chinese-Korean Word Alignment Based on Linguistic Comparison,11
00,Specifying the Parameters of Centering Theory: a Corpus-Based Evaluation using Text from Application-Oriented Domains,19
00,The Role of Centering Theory's Rough-Shift in the Teaching and Evaluation of Writing Skills,16
00,A Hierarchical Account of Referential Accessibility,18
00,Lexical Transfer Using a Vector-Space Model,2
00,Using Confidence Bands for Parallel Texts Alignment,5
00,Improved Statistical Alignment Models,450
00,Multi-Component TAG and Notions of Formal Power,4
00,Statistical Parsing with an Automatically-Extracted Tree Adjoining Grammar,101
00,Corpus-Based Lexical Choice in Natural Language Generation,19
00,An Information-Theory-Based Feature Type Analysis for the Modeling of Statistical Parsing,0
00,Lexicalized Stochastic Modeling of Constraint-Based Grammars using Log-Linear Measures and EM Training,55
00,Utilizing the World Wide Web as an Encyclopedia: Extracting Term Descriptions from Semi-Structured Texts,20
